"ID","Origen","Fecha_colecta","Cultivo","Etapa_fenologica","Reads_B","Reads_A","Reads_diff","Q30_B","Q30_A","LowQual","N_reads","too_short","Duplication","LengthR1","LengthR2","Classified"
"Ia7iM2MAIPOOB100245",NA,"06/09/2021","Maiz","Produccion",72372432,46102791,36.3,0.906719,0.968535,60,3496,52535726,0.0224319,135,135,11.38
"P0ZQM2MAIPOOA100240",NA,"06/09/2021","Maiz","Produccion",82900521,54356950,34.43,0.909602,0.972511,58,4684,57082400,0.0260889,136,135,9.27
"qU3SM2MAIPOOM070605","Sinaloa","25/09/2021","Maiz","Formacion espiga",79137885,51235712,35.26,0.908406,0.972016,62,4198,55800086,0.0247201,136,135,8.24
"B7zTM2MAIPOOA070610","Sinaloa","25/09/2021","Maiz","Formacion espiga",7713347,3944298,48.86,0.878899,0.965674,4,384,7537710,0.0135443,135,134,7
"c5isM2MAIPOOA070615","Sinaloa","25/09/2021","Maiz","Formacion espiga",95412242,63120574,33.84,0.915389,0.972844,62,3956,64579318,0.0280143,135,135,7.63
"TgLUM2MAIPOOM070620","Sinaloa","25/09/2021","Maiz","Formacion espiga",91208696,59954175,34.27,0.912478,0.972086,70,4354,62504618,0.0257193,135,135,7.08
"pse1M2MAIPOOA100685","Aguascalientes","13/10/2021","Maiz","Produccion",17323502,10398766,39.97,0.897383,0.964937,10,978,13848484,0.0127549,135,135,8.79
"AJwcM2MAIPOOA100700","Aguascalientes","13/10/2021","Maiz","Produccion",118494108,80045977,32.45,0.921134,0.973375,90,4304,76891868,0.0334245,135,135,8.09
"1ayWM2CHIPOOB100705","Aguascalientes","13/10/2021","Chile","Produccion",106596750,72459974,32.02,0.918087,0.973536,82,5214,68268256,0.0293838,135,135,10.27
"oAVVM2CHIPOOB051360","Sinaloa","19/10/2021","Chile","Desarrollo",73502278,49375948,32.82,0.91415,0.97378,72,3838,48248750,0.0250736,135,135,8.49
"3xfYM2CHIPOOA051365","Sinaloa","19/10/2021","Chile","Desarrollo",55353797,33796955,38.94,0.897984,0.968891,64,3132,43110488,0.0208508,136,135,7.48
"vcXtM2TOMPOOB050180","Sinaloa","18/10/2021","Tomate","Desarrollo",116060278,77849505,32.92,0.917773,0.973507,96,4556,76416894,0.0320182,135,135,7.87
